algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
heuristic_maxsave,0.2861377999652177,10,50,0.8,5
spreading_maxsave,0.09320530004333705,1,50,0.8,3
heuristic_maxsave,0.04675780003890395,1,50,0.8,3
spreading_maxsave,0.07748079998418689,2,50,0.8,4
heuristic_maxsave,0.06287460005842149,2,50,0.8,4
spreading_maxsave,0.09550199995283037,3,50,0.8,5
heuristic_maxsave,0.07569540000986308,3,50,0.8,5
spreading_maxsave,0.33846000011544675,5,50,0.8,7
heuristic_maxsave,0.15174629993271083,5,50,0.8,7
spreading_maxsave,0.18019900005310774,7,50,0.8,9
heuristic_maxsave,0.16474849998485297,7,50,0.8,9
spreading_maxsave,0.21686670009512454,10,50,0.8,12
heuristic_maxsave,0.1957001999253407,10,50,0.8,12
spreading_maxsave,0.054196499986574054,1,50,0.8,5
heuristic_maxsave,0.040249999961815774,1,50,0.8,5
spreading_maxsave,0.0838584000011906,2,50,0.8,6
heuristic_maxsave,0.059179099975153804,2,50,0.8,6
spreading_maxsave,0.08634219993837178,3,50,0.8,7
heuristic_maxsave,0.07997989992145449,3,50,0.8,7
spreading_maxsave,0.12844609993044287,5,50,0.8,9
heuristic_maxsave,0.10851970000658184,5,50,0.8,9
spreading_maxsave,0.27885759994387627,7,50,0.8,11
heuristic_maxsave,0.14720959996338934,7,50,0.8,11
spreading_maxsave,0.26033550000283867,10,50,0.8,12
heuristic_maxsave,0.18609769991599023,10,50,0.8,12
spreading_maxsave,0.05064849997870624,1,50,0.8,2
heuristic_maxsave,0.036326800007373095,1,50,0.8,2
spreading_maxsave,0.06278120004571974,2,50,0.8,3
heuristic_maxsave,0.05336770007852465,2,50,0.8,3
spreading_maxsave,0.08225560002028942,3,50,0.8,4
heuristic_maxsave,0.07037700002547354,3,50,0.8,4
spreading_maxsave,0.2204327000072226,5,50,0.8,6
heuristic_maxsave,0.09379790001548827,5,50,0.8,6
spreading_maxsave,0.14090020000003278,7,50,0.8,8
heuristic_maxsave,0.12976670009084046,7,50,0.8,8
spreading_maxsave,0.22793180006556213,10,50,0.8,11
heuristic_maxsave,0.17063049995340407,10,50,0.8,11
spreading_maxsave,0.046564699965529144,1,50,0.8,2
heuristic_maxsave,0.038552300073206425,1,50,0.8,2
spreading_maxsave,0.06163670006208122,2,50,0.8,3
heuristic_maxsave,0.0585103000048548,2,50,0.8,3
spreading_maxsave,0.13978720002342016,3,50,0.8,4
heuristic_maxsave,0.09137789998203516,3,50,0.8,4
spreading_maxsave,0.12267059995792806,5,50,0.8,5
heuristic_maxsave,0.10997430002316833,5,50,0.8,5
spreading_maxsave,0.18045709992293268,7,50,0.8,5
heuristic_maxsave,0.1549038999946788,7,50,0.8,5
spreading_maxsave,0.2067585000768304,10,50,0.8,5
heuristic_maxsave,0.28591790003702044,10,50,0.8,5
spreading_maxsave,0.15795010002329946,1,100,0.1,11
heuristic_maxsave,0.067420499981381,1,100,0.1,10
